trialNum,numTeachers,numAssessments,numExamples,teacherMu,exponent,simType,IG
0,1,0,10,0.6,0.8,unsortedUncertainTeachers,57.86542677590353
0,1,0,10,0.6,0.8,sortedUncertainTeachers,57.86542677590351
0,1,0,10,0.6,0.8,unsortedPerfectTeachers,60.076651980965394
0,1,0,10,0.6,0.8,sortedPerfectTeachers,60.07665198096542
0,1,0,10,0.6,0.9,unsortedNaiveTeachers,-26.46463459969028
0,1,0,10,0.6,0.9,unsortedUncertainTeachers,60.741150255626664
0,1,0,10,0.6,0.9,sortedUncertainTeachers,60.741150255626664
0,1,0,10,0.6,0.9,unsortedPerfectTeachers,68.00011369216179
0,1,0,10,0.6,0.9,sortedPerfectTeachers,68.00011369216178
0,1,0,10,0.6,1.0,unsortedNaiveTeachers,66.39885774025893
0,1,0,10,0.6,1.0,unsortedUncertainTeachers,64.08712378950133
0,1,0,10,0.6,1.0,sortedUncertainTeachers,64.0871237895013
0,1,0,10,0.6,1.0,unsortedPerfectTeachers,76.59710841518256
0,1,0,10,0.6,1.0,sortedPerfectTeachers,76.59710841518256
0,1,0,10,0.6,1.1,unsortedNaiveTeachers,67.93417737895886
0,1,0,10,0.6,1.1,unsortedUncertainTeachers,67.93417737895886
0,1,0,10,0.6,1.1,sortedUncertainTeachers,67.93417737895885
0,1,0,10,0.6,1.1,unsortedPerfectTeachers,86.0404822171615
0,1,0,10,0.6,1.1,sortedPerfectTeachers,86.0404822171615
0,1,0,10,0.6,1.2,unsortedNaiveTeachers,72.32652272490373
0,1,0,10,0.6,1.2,unsortedUncertainTeachers,72.32652272490373
0,1,0,10,0.6,1.2,sortedUncertainTeachers,72.32652272490377
0,1,0,10,0.6,1.2,unsortedPerfectTeachers,96.51304360457658
0,1,0,10,0.6,1.2,sortedPerfectTeachers,96.51304360457651
0,2,0,10,0.6,0.8,unsortedNaiveTeachers,41.46174949580799
0,2,0,10,0.6,0.8,unsortedUncertainTeachers,57.86542677590348
0,2,0,10,0.6,0.8,sortedUncertainTeachers,57.86542677590346
0,2,0,10,0.6,0.8,unsortedPerfectTeachers,60.076651980965394
0,2,0,10,0.6,0.8,sortedPerfectTeachers,101.8853080906536
0,2,0,10,0.6,0.9,unsortedNaiveTeachers,43.229438295335115
0,2,0,10,0.6,0.9,unsortedUncertainTeachers,60.74115025562665
0,2,0,10,0.6,0.9,sortedUncertainTeachers,60.741150255626664
0,2,0,10,0.6,0.9,unsortedPerfectTeachers,68.00011369216178
0,2,0,10,0.6,0.9,sortedPerfectTeachers,113.26600834694807
0,2,0,10,0.6,1.0,unsortedNaiveTeachers,64.08712378950129
0,2,0,10,0.6,1.0,unsortedUncertainTeachers,64.08712378950129
0,2,0,10,0.6,1.0,sortedUncertainTeachers,64.08712378950129
0,2,0,10,0.6,1.0,unsortedPerfectTeachers,76.59710841518253
0,2,0,10,0.6,1.0,sortedPerfectTeachers,126.51830414024136
0,2,0,10,0.6,1.1,unsortedNaiveTeachers,74.53598072599223
0,2,0,10,0.6,1.1,unsortedUncertainTeachers,67.93417737895882
0,2,0,10,0.6,1.1,sortedUncertainTeachers,67.9341773789588
0,2,0,10,0.6,1.1,unsortedPerfectTeachers,86.0404822171615
0,2,0,10,0.6,1.1,sortedPerfectTeachers,142.09175240181756
0,2,0,10,0.6,1.2,unsortedNaiveTeachers,56.471625260185306
0,2,0,10,0.6,1.2,unsortedUncertainTeachers,72.32652272490377
0,2,0,10,0.6,1.2,sortedUncertainTeachers,72.32652272490377
0,2,0,10,0.6,1.2,unsortedPerfectTeachers,98.06290950610362
0,2,0,10,0.6,1.2,sortedPerfectTeachers,162.3001619540573
0,3,0,10,0.6,0.8,unsortedNaiveTeachers,41.741167922112425
0,3,0,10,0.6,0.8,unsortedUncertainTeachers,57.86542677590346
0,3,0,10,0.6,0.8,sortedUncertainTeachers,57.86542677590346
0,3,0,10,0.6,0.8,unsortedPerfectTeachers,63.032433554361646
0,3,0,10,0.6,0.8,sortedPerfectTeachers,108.6379568496112
0,3,0,10,0.6,0.9,unsortedNaiveTeachers,58.96042995101078
0,3,0,10,0.6,0.9,unsortedUncertainTeachers,60.741150255626664
0,3,0,10,0.6,0.9,sortedUncertainTeachers,60.74115025562665
0,3,0,10,0.6,0.9,unsortedPerfectTeachers,69.64057639466573
0,3,0,10,0.6,0.9,sortedPerfectTeachers,120.9737260828922
0,3,0,10,0.6,1.0,unsortedNaiveTeachers,27.22252240168625
0,3,0,10,0.6,1.0,unsortedUncertainTeachers,64.0871237895013
0,3,0,10,0.6,1.0,sortedUncertainTeachers,64.0871237895013
0,3,0,10,0.6,1.0,unsortedPerfectTeachers,77.20399143180356
0,3,0,10,0.6,1.0,sortedPerfectTeachers,135.40125077336594
0,3,0,10,0.6,1.1,unsortedNaiveTeachers,78.30444897448237
0,3,0,10,0.6,1.1,unsortedUncertainTeachers,67.93417737895881
0,3,0,10,0.6,1.1,sortedUncertainTeachers,67.9341773789588
0,3,0,10,0.6,1.1,unsortedPerfectTeachers,88.11548130281463
0,3,0,10,0.6,1.1,sortedPerfectTeachers,152.29029258933514
0,3,0,10,0.6,1.2,unsortedNaiveTeachers,42.76096814833602
0,3,0,10,0.6,1.2,unsortedUncertainTeachers,72.32652272490378
0,3,0,10,0.6,1.2,sortedUncertainTeachers,72.32652272490378
0,3,0,10,0.6,1.2,unsortedPerfectTeachers,100.96824153630433
0,3,0,10,0.6,1.2,sortedPerfectTeachers,172.07984641626683
0,5,0,10,0.6,0.8,unsortedNaiveTeachers,54.880811555331604
0,5,0,10,0.6,0.8,unsortedUncertainTeachers,57.86542677590345
0,5,0,10,0.6,0.8,sortedUncertainTeachers,57.865426775903444
0,5,0,10,0.6,0.8,unsortedPerfectTeachers,61.915147210282214
